1,1,1
1,2,4
1,3,9
1,4,16
0,4,3
0,5,21
1,6,36
1,7,49
0,8,45
0,9,8
1,10,100
0,30,4
0,1,5
1,9,81
0,7,3
1,11,121
0,23,16
0,14,40
1,15,225
1,12,144
0,13,100
1,20,400
1,16,256
1,30,900
1,40,1600
0,21,36
0,25,80
1,60,3600
1,25,625
0,6,25
0,12,12
1,28,784
0,29,18
0,10,16
1,100,10000
0,91,15
1,22,484
0,16,24
0,24,16
1,75,5625
1,24,576
0,50,801
1,13,169
1,81,6561
1,44,1936
1,35,1225
0,36,400
0,71,225
1,55,3025
1,33,1089
0,99,505
0,101,10201
1,89,7921
0,51,451
0,2,41
1,61,3721
0,19,65
1,19,361
0,29,692
0,17,25
1,151,22801
1,52,2704
0,42,400
